date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:46	3631/3631	---MCZ	200	added ('OK')	text/html	etag:W/%228efc09db60f9e998e1753a090d463429%22	https://www.codeviral.in/	D:/Online%20Code%20Solver/ocs/www.codeviral.in/index.html	(from )
01:33:46	1205/1205	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22a9e421a1abd24835273d8e92d9508a23%22	https://www.codeviral.in/robots.txt		(from )
01:33:46	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%220dcd1745aa74545e197e31615ceec01a%22	https://www.codeviral.in/favicon.ico	D:/Online%20Code%20Solver/ocs/www.codeviral.in/favicon.ico	(from https://www.codeviral.in/)
01:33:46	10369/10369	---MCZ	200	added ('OK')	text/css	etag:W/%229714040a990a58c3e68f4c4136c4eb23%22	https://www.codeviral.in/_next/static/css/3e52ebbc76415c13.css	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/css/3e52ebbc76415c13.css	(from https://www.codeviral.in/)
01:33:46	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://www.codeviral.in/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.codeviral.in/)
01:33:46	1651/1651	---MCZ	200	added ('OK')	application/javascript	etag:W/%228114a0f7b5819b2614faeae0a78a5c1b%22	https://www.codeviral.in/_next/static/chunks/webpack-5752944655d749a0.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/webpack-5752944655d749a0.js	(from https://www.codeviral.in/)
01:33:47	140561/140561	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c53f07f31313b389b89993a3f36abdec%22	https://www.codeviral.in/_next/static/chunks/framework-fc97f3f1282ce3ed.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/framework-fc97f3f1282ce3ed.js	(from https://www.codeviral.in/)
01:33:47	104188/104188	---MCZ	200	added ('OK')	application/javascript	etag:W/%227d059b02ce9ce0dd7e01ca7bcc2ce8e2%22	https://www.codeviral.in/_next/static/chunks/main-1ff0eb5ba06dbf11.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/main-1ff0eb5ba06dbf11.js	(from https://www.codeviral.in/)
01:33:47	461744/461744	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e492ce710925b2b7b33e825cecadd696%22	https://www.codeviral.in/_next/static/chunks/pages/_app-b3529bcfc03ceb30.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/pages/_app-b3529bcfc03ceb30.js	(from https://www.codeviral.in/)
01:33:47	15114/15114	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e876f720f9e4c643021d96f5ee198590%22	https://www.codeviral.in/_next/static/chunks/pages/index-d1077ea0a6216562.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/pages/index-d1077ea0a6216562.js	(from https://www.codeviral.in/)
01:33:48	1531/1531	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d22469ca046d1c6d97fc430535e6f76a%22	https://www.codeviral.in/_next/static/xzMVlhIOWQ4Xgj3HtFe81/_buildManifest.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/xzMVlhIOWQ4Xgj3HtFe81/_buildManifest.js	(from https://www.codeviral.in/)
01:33:48	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://www.codeviral.in/_next/static/xzMVlhIOWQ4Xgj3HtFe81/_ssgManifest.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/xzMVlhIOWQ4Xgj3HtFe81/_ssgManifest.js	(from https://www.codeviral.in/)
01:33:48	92/92	---M--	200	added ('OK')	application/javascript	etag:%227c3f7e060745668041278118c0bb3d6d%22	https://www.codeviral.in/_next/static/xzMVlhIOWQ4Xgj3HtFe81/_middlewareManifest.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/xzMVlhIOWQ4Xgj3HtFe81/_middlewareManifest.js	(from https://www.codeviral.in/)
01:33:48	2276/2276	---MCZ	200	added ('OK')	text/html	etag:W/%22958d32c3b069cd082401c794f07c6b92%22	https://www.codeviral.in/contact	D:/Online%20Code%20Solver/ocs/www.codeviral.in/contact	(from https://www.codeviral.in/)
01:33:48	3066/3066	---MCZ	200	added ('OK')	text/html	etag:W/%220670f03719fa8d299f02db7570ac5a51%22	https://www.codeviral.in/u/createaccount	D:/Online%20Code%20Solver/ocs/www.codeviral.in/u/createaccount	(from https://www.codeviral.in/)
01:33:49	2867/2867	---MCZ	200	added ('OK')	text/html	etag:W/%2219a722ea23efc97dfeab88f0e36cd3cc%22	https://www.codeviral.in/u/login	D:/Online%20Code%20Solver/ocs/www.codeviral.in/u/login	(from https://www.codeviral.in/)
01:33:49	2157/2157	---MCZ	200	added ('OK')	text/html	etag:W/%22cad01199727862827ce1ace3fa7da611%22	https://www.codeviral.in/u/createPost	D:/Online%20Code%20Solver/ocs/www.codeviral.in/u/createPost	(from https://www.codeviral.in/)
01:33:49	2853/2853	---MCZ	200	added ('OK')	text/css	etag:W/%225e08b1cb0027b76da3792b46ad0a666c%22	https://www.codeviral.in/_next/static/css/034bdfc47ed385af.css	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/css/034bdfc47ed385af.css	(from https://www.codeviral.in/contact)
01:33:49	6565/6565	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f675b4346783f77c3f03a2eacbff6b1%22	https://www.codeviral.in/_next/static/chunks/pages/contact-4a89a02f34d2cb55.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/pages/contact-4a89a02f34d2cb55.js	(from https://www.codeviral.in/contact)
01:33:50	4110/4110	---MCZ	200	added ('OK')	application/javascript	etag:W/%22789be623c4faaa19bd32106994e14743%22	https://www.codeviral.in/_next/static/chunks/pages/u/createaccount-63e96ac5364cd158.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/pages/u/createaccount-63e96ac5364cd158.js	(from https://www.codeviral.in/u/createaccount)
01:33:50	3397/3397	---MCZ	200	added ('OK')	application/javascript	etag:W/%22699ef22e12ee75a50d34b4e020bfb7c2%22	https://www.codeviral.in/_next/static/chunks/pages/u/login-a3eca2176f3655e6.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/pages/u/login-a3eca2176f3655e6.js	(from https://www.codeviral.in/u/login)
01:33:50	2365/2365	---MCZ	200	added ('OK')	text/html	etag:W/%22e8d73b4f76e464d757d13fc986aeb859%22	https://www.codeviral.in/resetPass	D:/Online%20Code%20Solver/ocs/www.codeviral.in/resetPass	(from https://www.codeviral.in/u/login)
01:33:50	3891/3891	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264b8f1a84aefea7de08b3fffb8578cbe%22	https://www.codeviral.in/_next/static/chunks/pages/u/createPost-93c18ecb8e773f1f.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/pages/u/createPost-93c18ecb8e773f1f.js	(from https://www.codeviral.in/u/createPost)
01:33:51	2080/2080	---MCZ	200	added ('OK')	application/javascript	etag:W/%223135518a927003864236e577db1ed990%22	https://www.codeviral.in/_next/static/chunks/pages/resetPass-c8b200d876e21c10.js	D:/Online%20Code%20Solver/ocs/www.codeviral.in/_next/static/chunks/pages/resetPass-c8b200d876e21c10.js	(from https://www.codeviral.in/resetPass)
